uniqueID,name,party,n_turns,n_heckles,first_year,last_year,heckle_rate_per_100_turns
Albanese1963,"Albanese, Anthony",ALP,12965,4262,1998,2025,32.87311993829541
Pyne1967,"Pyne, Christopher",LIBERAL,7350,3287,1998,2019,44.72108843537415
Burke1969,"Burke, Tony",ALP,6055,2776,2004,2025,45.846407927332784
Crean1949,"Crean, Simon",ALP,5110,2527,1998,2013,49.45205479452055
Beazley1948,"Beazley, Kim (Jr)",ALP,4760,2122,1998,2007,44.57983193277311
Hockey1965,"Hockey, Joe",LIBERAL,6489,2120,1998,2015,32.67067344737248
Abbott1957,"Abbott, Tony",LIBERAL,8859,1356,1998,2019,15.306467998645445
Dutton1970,"Dutton, Peter",LIBERAL,4288,1313,2002,2025,30.620335820895523
Macklin1953,"Macklin, Jenny",ALP,3569,1280,1998,2019,35.86438778369291
Fitzgibbon1962,"Fitzgibbon, Joel",ALP,3599,1239,1998,2022,34.42622950819672
McMullan1947,"McMullan, Bob",ALP,2221,1101,1998,2010,49.572264745610084
Plibersek1969,"Plibersek, Tanya",ALP,3476,1062,1998,2025,30.55235903337169
Ferguson1953,"Ferguson, Martin",ALP,3310,1057,1998,2013,31.93353474320242
Gillard1961,"Gillard, Julia",ALP,6458,986,1998,2013,15.267884794053886
Slipper1950,"Slipper, Peter",LIBERAL,2995,986,1998,2011,32.92153589315526
Howard1939,"Howard, John",LIBERAL,8340,963,1998,2007,11.546762589928058
Perrett1966,"Perrett, Graham",ALP,3058,950,2008,2025,31.06605624591236
Tanner1956,"Tanner, Lindsay",ALP,2199,895,1998,2010,40.700318326512054
Swan1954,"Swan, Wayne",ALP,4504,894,1998,2019,19.849023090586147
Bishop1942,"Bishop, Bronwyn",LIBERAL,2037,883,1998,2016,43.34806087383407
Dreyfus1956,"Dreyfus, Mark",ALP,2449,822,2008,2025,33.56472029399755
Bowen1973,"Bowen, Chris",ALP,4397,775,2004,2025,17.62565385490107
Tuckey1935,"Tuckey, Wilson",LIBERAL,1898,737,1998,2010,38.83034773445733
Champion1972,"Champion, Nick",ALP,1687,734,2008,2021,43.50918790752816
Snowdon1950,"Snowdon, Warren",ALP,2554,724,1998,2022,28.347689898198905
King1966,"King, Catherine",ALP,2218,719,2002,2025,32.4165915238954
Emerson1954,"Emerson, Craig",ALP,2261,713,1998,2013,31.534719150818223
Rudd1957,"Rudd, Kevin",ALP,5345,700,1998,2013,13.096351730589335
Shorten1967,"Shorten, Bill",ALP,4074,686,2008,2024,16.83848797250859
Bishop1956,"Bishop, Julie",LIBERAL,3024,673,1998,2019,22.255291005291006
Bevis1955,"Bevis, Arch",ALP,1614,667,1998,2010,41.325898389095414
Melham1954,"Melham, Daryl",ALP,1867,662,1998,2013,35.457953936797
Latham1961,"Latham, Mark",ALP,1901,654,1998,2004,34.402945817990535
Fletcher1965,"Fletcher, Paul",LIBERAL,2408,606,2010,2025,25.166112956810633
Reith1950,"Reith, Peter",LIBERAL,2613,603,1998,2001,23.076923076923077
Husic1970,"Husic, Ed",ALP,1820,582,2010,2025,31.978021978021978
Hall1949,"Hall, Jill",ALP,2470,554,1998,2016,22.42914979757085
Hunt1965,"Hunt, Greg",LIBERAL,2971,544,2002,2022,18.310333221137665
Morrison1968,"Morrison, Scott",LIBERAL,5862,536,2008,2024,9.143636983964518
Chalmers1978,"Chalmers, Jim",ALP,1892,535,2013,2025,28.276955602536997
Price1945,"Price, Roger",ALP,1772,532,1998,2010,30.02257336343115
Danby1955,"Danby, Michael",ALP,1951,532,1998,2019,27.268067657611482
MitchellRobert1967,"Mitchell, Rob",ALP,1363,518,2010,2025,38.004402054292
Roxon1967,"Roxon, Nicola",ALP,2196,508,1998,2013,23.13296903460838
Turnbull1954,"Turnbull, Malcolm",LIBERAL,5095,507,2004,2018,9.950932286555446
Baldwin1955,"Baldwin, Bob",LIBERAL,1722,501,1998,2016,29.094076655052266
McLeay1945,"McLeay, Leo",ALP,844,498,1998,2004,59.00473933649289
OConnor1962,"O'Connor, Brendan",ALP,2298,493,2002,2024,21.45343777197563
Kerr1952,"Kerr, Duncan",ALP,1166,479,1998,2010,41.080617495711834
McCormack1964,"McCormack, Michael",NATIONAL,3179,470,2010,2025,14.784523435042466
Butler1977,"Butler, Terri",ALP,1126,467,2014,2022,41.47424511545293
Crosio1939,"Crosio, Janice",ALP,949,463,1998,2004,48.788198103266595
Lee1957,"Lee, Michael",ALP,1217,452,1998,2001,37.1405094494659
Conroy1979,"Conroy, Pat",ALP,2428,439,2013,2025,18.080724876441515
Sukkar1981,"Sukkar, Michael",LIBERAL,1377,436,2013,2025,31.663035584604213
Sidebottom1951,"Sidebottom, Sid",ALP,1304,433,1998,2013,33.20552147239264
OConnor1947,"O'Connor, Gavan",ALP,1239,414,1998,2007,33.41404358353511
Ley1961,"Ley, Sussan",LIBERAL,2135,411,2002,2025,19.250585480093676
Taylor1966,"Taylor, Angus",LIBERAL,1446,404,2013,2025,27.93914246196404
Hardgrave1960,"Hardgrave, Gary",LIBERAL,1497,402,1998,2007,26.85370741482966
Truss1948,"Truss, Warren",NATIONAL,2983,401,1998,2016,13.442842775729131
Adams1951,"Adams, Dick",ALP,1042,389,1998,2013,37.3320537428023
Ruddock1943,"Ruddock, Philip",LIBERAL,3653,389,1998,2016,10.648781823159048
Randall1953,"Randall, Don",LIBERAL,1220,385,1998,2015,31.557377049180328
