uniqueID,name,party,n_turns,n_heckles,first_year,last_year,heckle_rate_per_100_turns
Howard1939,"Howard, John",LIB,3539,1473,1998,2007,41.6219270980503
Abbott1957,"Abbott, Tony",LIB,3830,1392,1998,2019,36.344647519582246
Albanese1963,"Albanese, Anthony",ALP,5375,1348,1998,2025,25.07906976744186
Gillard1961,"Gillard, Julia",ALP,2655,1288,1998,2013,48.51224105461394
Morrison1968,"Morrison, Scott",LIB,3323,1101,2008,2024,33.1327114053566
Turnbull1954,"Turnbull, Malcolm",LIB,2727,1038,2004,2018,38.06380638063806
Costello1957,"Costello, Peter",LIB,1699,900,1998,2009,52.97233666862861
Rudd1957,"Rudd, Kevin",ALP,2289,830,1998,2013,36.26037570991699
Hockey1965,"Hockey, Joe",LIB,1871,779,1998,2015,41.63548904329236
Swan1954,"Swan, Wayne",ALP,1913,722,1998,2019,37.74176685833769
Pyne1967,"Pyne, Christopher",LIB,2561,613,1998,2019,23.935962514642718
Shorten1967,"Shorten, Bill",ALP,2354,586,2008,2024,24.893797790994054
Bowen1973,"Bowen, Chris",ALP,1869,521,2004,2025,27.875869448903156
Burke1969,"Burke, Tony",ALP,2273,482,2004,2025,21.20545534535856
Dutton1970,"Dutton, Peter",LIB,1962,464,2002,2025,23.649337410805302
McCormack1964,"McCormack, Michael",NP,1686,451,2010,2025,26.749703440094898
Smith1967,"Smith, Tony (Anthony David) (The SPEAKER)",LIB,2370,428,2015,2021,18.059071729957807
Anderson1956,"Anderson, John",NP,874,416,1998,2007,47.59725400457666
Downer1951,"Downer, Alexander",LIB,977,401,1998,2008,41.04401228249744
Beazley1948,"Beazley, Kim (Jr)",ALP,1642,395,1998,2007,24.05602923264312
Crean1949,"Crean, Simon",ALP,1478,387,1998,2013,26.184032476319352
Ruddock1943,"Ruddock, Philip",LIB,1206,369,1998,2016,30.597014925373134
Truss1948,"Truss, Warren",NP,1471,362,1998,2016,24.609109449354182
Bishop1956,"Bishop, Julie",LIB,1621,349,1998,2019,21.529919802590992
Macklin1953,"Macklin, Jenny",ALP,1499,346,1998,2019,23.082054703135423
Plibersek1969,"Plibersek, Tanya",ALP,1623,337,1998,2025,20.764017252002464
Fitzgibbon1962,"Fitzgibbon, Joel",ALP,1222,336,1998,2022,27.495908346972175
Reith1950,"Reith, Peter",LIB,640,324,1998,2001,50.625
Frydenberg1971,"Frydenberg, Josh",LIB,1181,322,2010,2022,27.26502963590178
Hunt1965,"Hunt, Greg",LIB,1771,321,2002,2022,18.125352907961602
Andrews1955,"Andrews, Kevin",LIB,1313,311,1998,2022,23.686214775323688
Chalmers1978,"Chalmers, Jim",ALP,917,290,2013,2025,31.62486368593239
Joyce1967,"Joyce, Barnaby",NP,977,286,2013,2025,29.273285568065507
Perrett1966,"Perrett, Graham",ALP,1513,277,2008,2025,18.30799735624587
Snowdon1950,"Snowdon, Warren",ALP,1080,276,1998,2022,25.555555555555557
Emerson1954,"Emerson, Craig",ALP,839,258,1998,2013,30.75089392133492
Kemp1941,"Kemp, David",LIB,541,249,1998,2004,46.02587800369686
Ley1961,"Ley, Sussan",LIB,1356,246,2002,2025,18.141592920353983
Slipper1950,"Slipper, Peter",LIB,1441,242,1998,2011,16.793893129770993
Roxon1967,"Roxon, Nicola",ALP,964,228,1998,2013,23.651452282157678
Vaile1956,"Vaile, Mark",NP,675,225,1998,2008,33.333333333333336
