uniqueID,name,party,n_turns,n_heckles,first_year,last_year,heckle_rate_per_100_turns
Albanese1963,"Albanese, Anthony",ALP,10478,4122,1998,2022,39.33956861996564
Pyne1967,"Pyne, Christopher",LIBERAL,7348,3287,1998,2019,44.733260751224826
Crean1949,"Crean, Simon",ALP,5103,2524,1998,2013,49.46110131295316
Burke1969,"Burke, Tony",ALP,4725,2385,2004,2022,50.476190476190474
Beazley1948,"Beazley, Kim (Jr)",ALP,4746,2131,1998,2007,44.900969237252426
Hockey1965,"Hockey, Joe",LIBERAL,6487,2128,1998,2015,32.804069677817175
Fitzgibbon1962,"Fitzgibbon, Joel",ALP,3595,1481,1998,2022,41.19610570236439
Abbott1957,"Abbott, Tony",LIBERAL,8857,1370,1998,2019,15.467991419216439
Macklin1953,"Macklin, Jenny",ALP,3565,1278,1998,2019,35.84852734922861
McMullan1947,"McMullan, Bob",ALP,2220,1106,1998,2010,49.81981981981982
Ferguson1953,"Ferguson, Martin",ALP,3305,1068,1998,2013,32.314674735249625
Bowen1973,"Bowen, Chris",ALP,3859,1059,2004,2022,27.44234257579684
Howard1939,"Howard, John",LIBERAL,8339,1025,1998,2007,12.291641683655115
Plibersek1969,"Plibersek, Tanya",ALP,3072,1014,1998,2022,33.0078125
Hunt1965,"Hunt, Greg",LIBERAL,2971,1010,2002,2022,33.99528778189162
Gillard1961,"Gillard, Julia",ALP,6457,991,1998,2013,15.347684683289453
Slipper1950,"Slipper, Peter",LIBERAL,2876,957,1998,2011,33.27538247566064
Swan1954,"Swan, Wayne",ALP,4501,908,1998,2019,20.173294823372583
Tanner1956,"Tanner, Lindsay",ALP,2196,896,1998,2010,40.80145719489982
Bishop1942,"Bishop, Bronwyn",LIBERAL,2038,885,1998,2016,43.42492639842983
Perrett1966,"Perrett, Graham",ALP,2539,818,2008,2022,32.217408428515164
Emerson1954,"Emerson, Craig",ALP,2260,815,1998,2013,36.06194690265487
Dutton1970,"Dutton, Peter",LIBERAL,2796,783,2002,2022,28.00429184549356
Dreyfus1956,"Dreyfus, Mark",ALP,2093,775,2008,2022,37.02818920210225
Champion1972,"Champion, Nick",ALP,1687,740,2008,2021,43.86484884410196
Tuckey1935,"Tuckey, Wilson",LIBERAL,1895,736,1998,2010,38.83905013192612
Snowdon1950,"Snowdon, Warren",ALP,2546,726,1998,2022,28.515318146111547
Rudd1957,"Rudd, Kevin",ALP,5343,724,1998,2013,13.55043982781209
Shorten1967,"Shorten, Bill",ALP,3861,679,2008,2022,17.586117586117584
King1966,"King, Catherine",ALP,1829,673,2002,2022,36.79606342263532
Bishop1956,"Bishop, Julie",LIBERAL,3025,673,1998,2019,22.24793388429752
Bevis1955,"Bevis, Arch",ALP,1603,660,1998,2010,41.17280099812851
Melham1954,"Melham, Daryl",ALP,1864,659,1998,2013,35.35407725321888
Latham1961,"Latham, Mark",ALP,1898,654,1998,2004,34.45732349841939
Reith1950,"Reith, Peter",LIBERAL,2611,606,1998,2001,23.209498276522407
Conroy1979,"Conroy, Pat",ALP,2315,602,2013,2022,26.004319654427647
Husic1970,"Husic, Ed",ALP,1636,559,2010,2022,34.168704156479215
Price1945,"Price, Roger",ALP,1772,558,1998,2010,31.489841986455982
Hall1949,"Hall, Jill",ALP,2469,558,1998,2016,22.600243013365734
Danby1955,"Danby, Michael",ALP,1951,542,1998,2019,27.780625320348538
Morrison1968,"Morrison, Scott",LIBERAL,5851,535,2008,2022,9.143736113484874
Roxon1967,"Roxon, Nicola",ALP,2196,511,1998,2013,23.2695810564663
Turnbull1954,"Turnbull, Malcolm",LIBERAL,5095,510,2004,2018,10.00981354268891
Baldwin1955,"Baldwin, Bob",LIBERAL,1722,509,1998,2016,29.558652729384438
McLeay1945,"McLeay, Leo",ALP,842,496,1998,2004,58.90736342042755
OConnor1962,"O'Connor, Brendan",ALP,2170,493,2002,2022,22.71889400921659
Kemp1941,"Kemp, David",LIBERAL,1419,486,1998,2004,34.24947145877378
Kerr1952,"Kerr, Duncan",ALP,1162,485,1998,2010,41.73838209982788
Butler1977,"Butler, Terri",ALP,1126,467,2014,2022,41.47424511545293
