year,party,n_turns,n_heckles,heckle_rate_per_100_turns
1998,ALP,7359,3311,44.99252615844544
1998,CDP,83,7,8.433734939759036
1998,CLP,46,9,19.565217391304348
1998,IND,585,141,24.102564102564102
1998,LIBERAL,7314,1313,17.95187312004375
1998,NATIONAL,1352,163,12.05621301775148
1998,PHON,38,2,5.2631578947368425
1999,ALP,8252,2853,34.57343674260785
1999,IND,114,3,2.6315789473684212
1999,LIBERAL,7509,1017,13.543747502996405
1999,NATIONAL,1901,179,9.416096791162547
2000,ALP,8826,3072,34.80625424881033
2000,IND,252,27,10.714285714285714
2000,LIBERAL,7878,1285,16.31124650926631
2000,NATIONAL,2265,235,10.375275938189846
2001,ALP,7082,2452,34.6229878565377
2001,IND,229,40,17.467248908296945
2001,LIBERAL,6106,1131,18.522764493940386
2001,NATIONAL,1913,183,9.566126502875065
2002,ALP,8579,3085,35.95990208649027
2002,CLP,41,3,7.317073170731708
2002,IND,236,38,16.10169491525424
2002,LIBERAL,8125,1353,16.65230769230769
2002,NATIONAL,1746,124,7.101947308132875
2003,ALP,9161,2812,30.69533893679729
2003,CLP,30,1,3.3333333333333335
2003,GREENS,135,16,11.851851851851851
2003,IND,281,58,20.640569395017792
2003,LIBERAL,8282,1234,14.89978266119295
2003,NATIONAL,1904,156,8.193277310924369
2004,ALP,6436,1854,28.806712243629583
2004,CLP,41,6,14.634146341463415
2004,GREENS,139,14,10.071942446043165
2004,IND,204,33,16.176470588235293
2004,LIBERAL,6495,956,14.719014626635873
2004,NATIONAL,1410,123,8.72340425531915
2005,ALP,8606,2018,23.44875668138508
2005,CLP,47,3,6.382978723404255
2005,IND,281,67,23.843416370106763
2005,LIBERAL,7973,962,12.065721811112505
2005,NATIONAL,2178,144,6.6115702479338845
2006,ALP,9341,2666,28.540841451664704
2006,CLP,58,1,1.7241379310344827
2006,IND,326,54,16.56441717791411
2006,LIBERAL,8564,1105,12.902849135917796
2006,NATIONAL,1713,104,6.0712200817279625
2007,ALP,6412,1640,25.57704304429195
2007,CLP,37,2,5.405405405405405
2007,IND,197,37,18.781725888324875
2007,LIBERAL,6882,866,12.583551293228712
2007,NATIONAL,1102,102,9.255898366606171
2008,ALP,10191,1344,13.188107153370622
2008,IND,211,47,22.274881516587676
2008,LIBERAL,6422,2407,37.48053565867331
2008,NATIONAL,895,192,21.452513966480446
2009,ALP,10074,1159,11.504864006352987
2009,IND,347,51,14.697406340057636
2009,LIBERAL,6413,2320,36.17651645095899
2009,NATIONAL,756,172,22.75132275132275
2010,ALP,7703,915,11.878488900428405
2010,CLP,11,0,0.0
2010,GREENS,32,1,3.125
2010,IND,285,71,24.912280701754387
2010,LIBERAL,4818,1623,33.68617683686177
2010,NATIONAL,611,117,19.148936170212767
2010,NATS WA,5,0,0.0
2011,ALP,9936,1151,11.5841384863124
2011,CLP,78,15,19.23076923076923
2011,GREENS,113,6,5.3097345132743365
2011,IND,383,66,17.232375979112273
2011,LIBERAL,7192,1839,25.57007786429366
2011,NATIONAL,1242,243,19.565217391304348
2011,NATS WA,48,4,8.333333333333334
2012,ALP,10787,1135,10.5219245387967
2012,CLP,111,19,17.117117117117118
2012,GREENS,127,6,4.724409448818897
2012,IND,496,40,8.064516129032258
2012,KAP,137,32,23.357664233576642
2012,LIBERAL,7119,1927,27.068408484337688
2012,NATIONAL,1291,228,17.660728117738188
2012,NATS WA,26,1,3.8461538461538463
2013,ALP,7252,1175,16.202426916712632
2013,CLP,78,6,7.6923076923076925
2013,GREENS,104,11,10.576923076923077
2013,IND,281,33,11.743772241992882
2013,KAP,149,34,22.818791946308725
2013,LIBERAL,5443,1203,22.10178210545655
2013,NATIONAL,964,107,11.099585062240664
2013,NATS WA,15,0,0.0
2013,PUP,3,0,0.0
2014,ALP,9833,3599,36.60124072002441
2014,CLP,199,15,7.5376884422110555
2014,GREENS,139,22,15.827338129496402
2014,IND,195,20,10.256410256410257
2014,KAP,94,29,30.851063829787233
2014,LIBERAL,11316,1111,9.817956875220926
2014,NATIONAL,1854,147,7.9288025889967635
2014,PUP,32,0,0.0
2015,ALP,9504,3062,32.21801346801347
2015,CLP,193,18,9.32642487046632
2015,GREENS,120,7,5.833333333333333
2015,IND,223,19,8.52017937219731
2015,KAP,97,20,20.61855670103093
2015,LIBERAL,11117,936,8.419537645048125
2015,NATIONAL,1964,160,8.146639511201629
2015,PUP,36,4,11.11111111111111
2016,ALP,6330,1896,29.95260663507109
2016,CLP,47,5,10.638297872340425
2016,GREENS,102,13,12.745098039215685
2016,IND,188,33,17.5531914893617
2016,KAP,88,16,18.181818181818183
2016,LIBERAL,7229,803,11.108037072900816
2016,NATIONAL,1255,81,6.4541832669322705
2016,NXT,51,5,9.803921568627452
2016,PUP,13,0,0.0
2017,ALP,7995,1942,24.290181363352094
2017,GREENS,134,15,11.194029850746269
2017,IND,265,33,12.452830188679245
2017,KAP,128,23,17.96875
2017,LIBERAL,8396,828,9.861838970938543
2017,NATIONAL,1744,127,7.282110091743119
2017,NXT,134,8,5.970149253731344
2018,ALP,7247,1427,19.690906582033946
2018,CA,172,1,0.5813953488372093
2018,GREENS,134,13,9.701492537313433
2018,IND,216,39,18.055555555555557
2018,KAP,112,25,22.321428571428573
2018,LIBERAL,7870,614,7.801778907242694
2018,NATIONAL,1716,131,7.634032634032634
2019,ALP,4934,1217,24.665585731657885
2019,CA,262,11,4.198473282442748
2019,GREENS,127,24,18.89763779527559
2019,IND,202,35,17.326732673267326
2019,KAP,121,44,36.36363636363637
2019,LIBERAL,5594,411,7.347157668930998
2019,NATIONAL,1280,65,5.078125
2020,ALP,5809,1105,19.022206920296092
2020,CA,128,0,0.0
2020,GREENS,115,11,9.565217391304348
2020,IND,314,34,10.828025477707007
2020,KAP,65,8,12.307692307692308
2020,LIBERAL,6602,383,5.801272341714632
2020,NATIONAL,1463,44,3.007518796992481
2021,ALP,6252,1177,18.82597568777991
2021,CA,78,5,6.410256410256411
2021,GREENS,136,9,6.617647058823529
2021,IND,326,34,10.429447852760736
2021,KAP,102,18,17.647058823529413
2021,LIBERAL,7273,410,5.6372886016774375
2021,NATIONAL,1770,48,2.711864406779661
2022,ALP,4925,597,12.121827411167512
2022,CA,110,5,4.545454545454546
2022,GREENS,77,8,10.38961038961039
2022,IND,235,15,6.382978723404255
2022,KAP,85,27,31.764705882352942
2022,LIBERAL,3270,692,21.162079510703364
2022,NATIONAL,770,120,15.584415584415584
2023,ALP,8461,830,9.809715163692236
2023,CA,149,6,4.026845637583893
2023,GREENS,113,18,15.929203539823009
2023,IND,388,21,5.412371134020619
2023,KAP,137,42,30.656934306569344
2023,LIBERAL,4326,1441,33.31021729079981
2023,NATIONAL,1419,402,28.32980972515856
2024,ALP,7430,809,10.888290713324361
2024,CA,129,1,0.7751937984496124
2024,GREENS,141,21,14.893617021276595
2024,IND,456,49,10.74561403508772
2024,KAP,172,54,31.3953488372093
2024,LIBERAL,3955,1263,31.93426042983565
2024,NATIONAL,1236,270,21.844660194174757
2025,ALP,1678,149,8.879618593563766
2025,CA,30,1,3.3333333333333335
2025,GREENS,28,5,17.857142857142858
2025,IND,72,6,8.333333333333334
2025,KAP,9,2,22.22222222222222
2025,LIBERAL,785,224,28.53503184713376
2025,NATIONAL,342,56,16.374269005847953
