year,topic_id,topic_label,speaker_gender,n,interjection_rate,interjection_rate_pct
1998,3,"tax, budget, cent, labor, billion",female,56,0.2857142857142857,28.57142857142857
1998,3,"tax, budget, cent, labor, billion",male,577,0.49566724436741766,49.566724436741765
1998,5,"work, workers, business, small, jobs",female,27,0.2962962962962963,29.629629629629626
1998,5,"work, workers, business, small, jobs",male,276,0.43478260869565216,43.47826086956522
1998,6,"australia, energy, million, industry, infrastructure",female,35,0.14285714285714285,14.285714285714285
1998,6,"australia, energy, million, industry, infrastructure",male,226,0.2831858407079646,28.31858407079646
1998,9,"australia, industry, australian, regional, trade",female,27,0.3333333333333333,33.33333333333333
1998,9,"australia, industry, australian, regional, trade",male,336,0.375,37.5
1999,3,"tax, budget, cent, labor, billion",female,50,0.32,32.0
1999,3,"tax, budget, cent, labor, billion",male,727,0.4126547455295736,41.26547455295736
1999,5,"work, workers, business, small, jobs",female,93,0.24731182795698925,24.731182795698924
1999,5,"work, workers, business, small, jobs",male,298,0.33557046979865773,33.557046979865774
1999,6,"australia, energy, million, industry, infrastructure",female,74,0.20270270270270271,20.27027027027027
1999,6,"australia, energy, million, industry, infrastructure",male,390,0.22564102564102564,22.564102564102566
1999,9,"australia, industry, australian, regional, trade",female,70,0.14285714285714285,14.285714285714285
1999,9,"australia, industry, australian, regional, trade",male,394,0.2563451776649746,25.63451776649746
2000,3,"tax, budget, cent, labor, billion",female,82,0.18292682926829268,18.29268292682927
2000,3,"tax, budget, cent, labor, billion",male,695,0.43453237410071943,43.45323741007194
2000,5,"work, workers, business, small, jobs",female,58,0.2413793103448276,24.137931034482758
2000,5,"work, workers, business, small, jobs",male,251,0.3904382470119522,39.04382470119522
2000,6,"australia, energy, million, industry, infrastructure",female,82,0.14634146341463414,14.634146341463413
2000,6,"australia, energy, million, industry, infrastructure",male,413,0.2711864406779661,27.11864406779661
2000,9,"australia, industry, australian, regional, trade",female,80,0.15,15.0
2000,9,"australia, industry, australian, regional, trade",male,431,0.271461716937355,27.1461716937355
2001,3,"tax, budget, cent, labor, billion",female,59,0.3050847457627119,30.508474576271187
2001,3,"tax, budget, cent, labor, billion",male,536,0.47201492537313433,47.201492537313435
2001,5,"work, workers, business, small, jobs",female,50,0.24,24.0
2001,5,"work, workers, business, small, jobs",male,231,0.41125541125541126,41.125541125541126
2001,6,"australia, energy, million, industry, infrastructure",female,60,0.15,15.0
2001,6,"australia, energy, million, industry, infrastructure",male,266,0.29699248120300753,29.69924812030075
2001,9,"australia, industry, australian, regional, trade",female,56,0.17857142857142858,17.857142857142858
2001,9,"australia, industry, australian, regional, trade",male,237,0.34177215189873417,34.177215189873415
2002,3,"tax, budget, cent, labor, billion",female,49,0.1836734693877551,18.367346938775512
2002,3,"tax, budget, cent, labor, billion",male,344,0.43023255813953487,43.02325581395349
2002,5,"work, workers, business, small, jobs",female,73,0.136986301369863,13.698630136986301
2002,5,"work, workers, business, small, jobs",male,324,0.37962962962962965,37.96296296296296
2002,6,"australia, energy, million, industry, infrastructure",female,84,0.17857142857142858,17.857142857142858
2002,6,"australia, energy, million, industry, infrastructure",male,441,0.2222222222222222,22.22222222222222
