year,speaker_gender,n,interjection_rate,avg_interjections,interjection_rate_pct
1998,female,661,0.24508320726172467,0.7019667170953101,24.508320726172467
1998,male,4821,0.338311553619581,1.055175274839245,33.831155361958096
1999,female,1182,0.15820642978003385,0.3155668358714044,15.820642978003384
1999,male,6173,0.25724931151790054,0.6761704195690912,25.724931151790052
2000,female,1263,0.15518606492478226,0.3578780680918448,15.518606492478227
2000,male,6205,0.26800966962127315,0.7308622078968574,26.800966962127315
2001,female,890,0.16179775280898875,0.3685393258426966,16.179775280898877
2001,male,4540,0.2993392070484581,0.8477973568281938,29.93392070484581
2002,female,1273,0.14689709347996857,0.3307148468185389,14.689709347996857
2002,male,5666,0.2627956230144723,0.7511471937875044,26.27956230144723
2003,female,1418,0.16290550070521861,0.37940761636107195,16.29055007052186
2003,male,5784,0.2691908713692946,0.6766943291839558,26.91908713692946
2004,female,1008,0.17261904761904762,0.35615079365079366,17.261904761904763
2004,male,4802,0.23386089129529364,0.5666389004581425,23.386089129529363
2005,female,1429,0.15255423372988103,0.2554233729881036,15.255423372988103
2005,male,5756,0.2340166782487839,0.5161570535093816,23.401667824878388
2006,female,1414,0.1661951909476662,0.35007072135785006,16.61951909476662
2006,male,6201,0.23689727463312368,0.5670053217223029,23.68972746331237
2007,female,1038,0.16184971098265896,0.3236994219653179,16.184971098265898
2007,male,4528,0.2316696113074205,0.5340106007067138,23.16696113074205
2008,female,1790,0.19664804469273742,0.524022346368715,19.66480446927374
2008,male,5921,0.22800202668468164,0.5749028880256714,22.800202668468163
2009,female,1860,0.17258064516129032,0.4591397849462366,17.258064516129032
2009,male,5830,0.21389365351629502,0.5476843910806175,21.389365351629504
2010,female,1668,0.19964028776978418,0.4568345323741007,19.964028776978417
2010,male,4787,0.1863379987466054,0.43137664508042617,18.63379987466054
2011,female,2613,0.19747416762342135,0.5135859165709912,19.747416762342134
2011,male,7201,0.17928065546451882,0.3999444521594223,17.928065546451883
2012,female,2944,0.19870923913043478,0.4507472826086957,19.870923913043477
2012,male,7684,0.1711348256116606,0.38066111400312336,17.11348256116606
2013,female,2030,0.18423645320197043,0.38275862068965516,18.423645320197043
2013,male,5386,0.20627552914964722,0.4912736724842183,20.627552914964724
2014,female,3363,0.13856675587273268,0.30776092774308655,13.856675587273267
2014,male,8489,0.2285310401696313,0.6493108728943339,22.85310401696313
2015,female,3578,0.10983789826718837,0.23868082727780884,10.983789826718837
2015,male,9470,0.19017951425554383,0.49598732840549103,19.017951425554383
2016,female,2129,0.11977454203851573,0.26491310474401125,11.977454203851574
2016,male,6267,0.2002553055688527,0.4897079942556247,20.025530556885272
2017,female,2733,0.1163556531284303,0.2114892060007318,11.63556531284303
2017,male,7997,0.2109541077904214,0.4567962986119795,21.09541077904214
2018,female,2910,0.09450171821305842,0.16013745704467353,9.450171821305842
2018,male,8000,0.174375,0.348625,17.4375
2019,female,1960,0.08877551020408163,0.16020408163265307,8.877551020408163
2019,male,5477,0.17272229322621874,0.38159576410443674,17.272229322621875
2020,female,2740,0.08284671532846716,0.13795620437956205,8.284671532846716
2020,male,6406,0.15469871995004683,0.3089291289416172,15.469871995004683
2021,female,3021,0.07679576299238662,0.12942734193975505,7.679576299238662
2021,male,7210,0.15159500693481276,0.3128987517337032,15.159500693481275
2022,female,807,0.10532837670384139,0.241635687732342,10.532837670384138
2022,male,2036,0.1832023575638507,0.4449901768172888,18.32023575638507
